concurrent_users,optimization_state,successful_requests,error_requests,avg_response_time,requests_per_second
10,before,10,0,380.771279335022,16.673082595342528
10,after,10,0,348.60901832580566,17.16265490383022
50,before,50,0,1668.249168395996,25.51592390941323
50,after,50,0,1384.7272062301636,27.814118601044605
100,before,100,0,3009.4682812690735,26.861606914703735
100,after,100,0,3407.4279522895813,25.48079052280496
200,before,200,0,7870.521193742752,20.978209951153424
200,after,200,0,8746.575607061386,19.22298216397876
